,제목,주소,조회수,좋아요,싫어요,댓글수,본문내용
51,※경축※ 세계최초로 펭귄이 팬싸를 열었다고?! (feat. 교보 꽉 채움),/watch?v=mVekiQ-eYzQ,"612,915",17000,149,"1,515",#우리#펭수#출세했네#연습생주제에남극에 있는 고향 마을에는 현수막도 걸렸다던데..?
52,"[EP.39-광복절] EBS의 펭귄은 인간에게 역사를 가르칩니다! 펭수, 1타 강사 되다!",/watch?v=5ZCJdUpMW3Q,"371,923",8400,68,464,#남극에서#물건너온#교육법
53,낚시편 펭수와 매니저의 비하인드 스토리가 있다!!,/watch?v=UQ5Ue8DOwLQ,"286,284",8300,52,468,펭하! 민물낚시는 처음이야!그래서 퀴즈를 맞추면서 공부해봤는데어때 보러올테야?
54,[EP.38] 세상에 나쁜 공룡은 없다! 우리집 공룡은 안물어요! 겁먹지 마세요~!,/watch?v=OYOui0asg3A,"924,317",18000,284,"1,765",펭수x점박이시간과 종을 초월한 특별 콜라보!!
55,[V-log] 펭수 낚시 브이로그 (@Yangpyeong),/watch?v=32xKH57rIPE,"515,238",13000,118,"1,124",오늘의 자이언트 펭TV는 조금 더 특별합니다.여러분도 펭수와 함께 힐링 여행을 떠나보세요.
56,[수능 D-100] 10살이 수능 문제를 풀어보았다. 펭수의 수능모의고사 도전!,/watch?v=WVYCAsrj6F8,"438,463",9500,92,618,2020 수능 D-100을 맞아 펭수의 수능 꿀팁 독점 공개!수험생 선배님들..! 끝까지 봐주세여 펭펭🐧
57,펭수가 분노의 병뚜껑 챌린지를 하게된 사연! (feat. 슈퍼콘),/watch?v=Fw-N1QtXG8A,"330,032",9800,50,440,저번에 펭수가 슈퍼콘 챌린지에 참여한거 봤지?대망의 결과 확인을 친구들하고 함께 하는 영상그리고 펭수가 분노에 찬 이유는?친구들은 슈퍼콘 VS 병뚜껑 뭐가 더 잘한거 같아?펭수의 챌린지는 To...be...컨티뉴...
58,"""니가 왜 내 머리를 감겨...?"" 미용실 거대 펭귄 몰래카메라ㅋㅋㅋ [자이언트 펭TV EP.36]",/watch?v=XieSma2vtxo,"641,008",13000,155,"1,375",꿀잼보장. 미용실에 염색하러 갔는데 거대펭귄이 나타난다면?
59,(납량특집) EBS 펭귄 귀신 이야기 들어봄? 지하에서 말 조심해야 하는 이유! [EP.35],/watch?v=wOIGs1zGvlo,"1,429,764",24000,638,"2,876","이번 편은 혼자 보지 마. 무서우니까..""납량특집 자이언트 펭 TV"""
60,PENG-SOO 펭수 '자이언트 펭TV(Giant Peng TV Opening)' M/V (Director's cut),/watch?v=MlcNCcxdciM,"304,326",12000,54,746,"PENG-SOO(펭수) ""Giant Peng TV Opening"" M/V(Director's cut)"
61,어이없는데 자꾸 보게 되는 펭수 아이컨택 영상,/watch?v=m37XVm9t-aw,"309,381",24000,72,"5,621",날씨가 꾸덕꾸덕한 여름 장마철...당신의 멘탈을 멍하게 했다가 질리게 했다가 공포에 떨게 했다가묘하게 홀릴 펭수의 아이컨택 영상펭수랑 눈싸움해서 이긴 사람...?나오면 소원 들어 줌
62,"[피지컬갤러리x펭수] 빡빡이 아저씨와 함께 하는 키 커지는 운동 “이거 좋아 정말 좋아""",/watch?v=nSR-GbLHV_4,"336,984",7900,69,399,10세 펭귄 펭수는 사실 아직 성장기입니다.올바른 자세와 적절한 운동으로 210cm 너머의 더 높은 곳을 향해 갑니다.#자세교정 #키크는운동
63,[피지컬갤러리X펭수] 빡빡이 아저씨 특제 방학용 헬린이 운동 루틴 대공개,/watch?v=JHLodScZJng,"93,437",3300,9,195,방학을 맞이하여 빡빡이 아저씨가 정성으로 준비하고펭수가 땀 한 바가지 추가한스페샬 운동 루틴 비디오를 공개합니다.#펭수가#이거찍다가#죽을뻔함
64,[피지컬갤러리X펭수] 본격 헬린이 양성 교육 방송 EBS!! (Wt.빡빡이아저씨) [EP.33],/watch?v=dWz5wwo8iFk,"1,087,683",15000,189,"1,285","본격 헬린이 양성 교육 방송 EBS!세계 최초 3대 측정하는 펭귄, 펭수!!세계 최초 펭귄 PT 해주는 빡저씨 김계란!지금까지 없었고 앞으로도 없을 충격과 공포의 대환장 콜라보!"
65,'이거 누가 써..? ' 이말년과 펭수 굿즈 만들기 [EP.31.5],/watch?v=m8RiT77rNHs,"371,031",7600,77,498,소듕한 구독자님덜을 위한 홈메이드 굿즈 제작공정 공개!
66,[펭수 Live] 토이스토리 OST - You've got a friend in me (Live Performance by a Giant Penguin 'Pengsoo'),/watch?v=mCZAqI419Tg,"448,775",23000,72,"2,670","*눈호강 귀호강 보장*무려 기타리스트를 초청해서무려 어쿠스틱 라이브로  불러본 세상에서 제일 귀여운 펭수 라이브 - 토이스토리 OST ""You've got a friend in me""  우디 복장을 찰떡같이 소화해준 기타리스트 정소리님 좌표: https://music.naver.com/musicianLeagu..."
67,'이 세상 퀄이 아니다..' 이말년 X 펭수의 저세상 굿즈 홈쇼핑! [EP.32],/watch?v=0Z54hUwIqdY,"232,030",5600,37,339,이번 생 말년처럼 보내는 EBS 연습생 펭수와 침착맨 이말년의 콜라보!
68,'자꾸 교육방송 선 넘는' 이말년(침착맨)과 펭수(EBS 연습생)의 짤방 폭격! [EP.31],/watch?v=S9q4BorGg0I,"1,549,011",22000,311,"1,369",[관전포인트] EBS 농간에 넘어간 이말년 삭발 공약
69,[프로듀스 X 펭수] 당신의 펭귄에게 투표하세요! @자기소개_1분 PR,/watch?v=myfNqeY0v78,"174,595",9900,8,486,#PRODUCE#PENGSOO#당신의#펭귄에게#투표하세요10살 펭귄 펭수는 바리...아니 연습생입니다.
70,"펭수, [손흥민 슈퍼콘 댄스] 싱크로 100% 도전!",/watch?v=7yeqAGOeZQg,"299,878",9300,25,557,"나 펭수 사실 고백할 게 있는데,남극에서부터 손흥민 선수 팬이었어.그래서 순수한 펭심... 아니 팬심으로 #슈퍼콘댄스챌린지 참여해봤음. 세상에 손흥민 덕후는 많겠지만 펭귄 덕후는 나 하나 아닐까?손흥민 친필 사인 유니폼 갖고 싶어. 응원해줘."
71,연기과는 마피아게임을 더 잘할까? [펭수x고양예고 연기과 마피아게임],/watch?v=78FiC4-Od00,"602,876",11000,196,448,지난 고양예고편에서 미처 나가지 못했던★펭수x고양예고 마피아게임 분량 공개★시민vs.마피아 숨 막히는(?) 추리 대결!펭수는 결국 바닥을 치며 뒹구는데...  과연 무슨 일이?
72,[EP.30]인싸 게임 대회는 계속된다! 일등미디어 vs 중학생 인싸 전지영 & 김다윤 vs 일산초 펭수 & 근원,/watch?v=BVVK7baxyjU,"192,465",3300,58,232,#홍삼게임#훈민정음게임#탁구공굴리기야구는 9회말 2아웃부터인싸게임대회는 2라운드부터(아마도?)
73,[인싸게임대회] 들어는 봤나? 펭수 게임,/watch?v=RWxy8ve8EN8,"234,336",4400,53,334,#펭수게임#바보게임#베스킨라빈스31너희는 이 게임 알아? 펭수는 알아 :)
74,[펭수쇼] 고양예고 선배님들이 직접 밝히는 예고 라이프의 모든 것,/watch?v=giRI-A2rVx4,"97,944",2900,14,150,펭수가 고양예고 가서 펭수 진로만 탐색했겠어?친구들을 위한 핫한 정보도 가지고 왔지!'앨렌쇼' 아니고 '펭수쇼'에서 직접 고양예고의 각 과 선배님들을 모시고 구독자들이 궁금해하는 것들에 대해서 이야기를 나눠봤으니..특히 예술계 진학을 꿈꾸고 있는 친구들은 주목!
75,예술고 학생은 아크로바틱과 발레를 배운다고?! (feat. 고양예고) [EP.28],/watch?v=ngTMsnUODa4,"812,469",15000,184,950,이어지는 펭수의 '연기과/문예창작과/무용과' 적성 검사!
76,"예술천재 펭수, 고양예고 테스트 도전! 음악과 미술과 뿌셔! [EP.27]",/watch?v=NjS52lUjHDU,"1,528,316",24000,341,"1,391","인성..아니 펭성 빼고 다 타고난 펭수.예술적인 바이브 뿜뿜하며 음악과, 미술과 실기시험 도전하는데!"
77,진짜 성우 쓰복만과 '마법소녀물 더빙 대결'을 해봤다(feat. 플라워링 하트) [EP.26],/watch?v=ku3IevTQuVY,"393,227",10000,70,"1,143","""쿡... 진..0r.己i.제.법.구ㅑ.6ㅕ.운.girlº..☆ººº""다 된 마법소녀물에 펭수 뿌리기;;; 펭수의 직업체험 - 성우편 두 번째 이야기!"
78,"[EP.25] 펭수X쓰복만! 피, 땀, 눈물의 성우 수업 현장",/watch?v=OBObGmcxnno,"842,319",18000,140,"1,748",#쓰복만#성우님을#전적으로#믿으셔야합니다펭수의 직업체험 1탄! EBS 성우이자 유명 크리에이터 쓰복만 김보민 성우님을 만나봤습니다!!쓰앵님 이렇게만 하면 성우가 될 수 있는거 맞나요??
79,엽떡vs.닭발? 연애? 친구관계? 펭수가 세상의 고민을 부숴드립니다! [펭수의 얼어죽을 고민상담소],/watch?v=-OTfr5u1NHU,"738,012",23000,182,"1,763",날씨도 더운데 고민 때문에 더 답답한 여러분을 위해펭수가 고민상담소를 열었습니다.고민을 
